,Ticker_ID,Comment_Frequency,Upvotes
857,85K,2,118
79,BRO,6,118
49,ROKU,12,117
963,VFF,4,116
537,FUND,4,116
261,MUCH,9,114
535,DASH,12,114
594,OREO,1,113
595,STUF,1,113
51,KBH,12,111
867,IVE,5,110
1059,ASK,2,110
408,30K,5,109
229,KIDS,5,109
714,DMX,12,109
569,TURN,7,109
336,TERM,5,108
839,HALF,4,108
242,BOOM,8,108
248,WOOD,4,108
287,CARE,4,107
570,FEED,5,107
156,FAKE,6,106
1056,BOI,1,105
495,FALL,5,102
297,HAHA,6,102
1016,ONTO,2,102
584,FUC,6,101
755,JOE,7,101
139,BANK,4,101
317,ROOT,6,98
455,CCL,10,97
478,DTE,7,96
554,PEAK,3,95
366,MOST,4,95
231,BEST,7,94
549,CNB,4,94
493,LEAP,3,92
422,WOO,2,91
316,CHWY,9,91
172,SNAP,10,91
900,9MM,1,90
68,UPST,8,90
833,40K,3,90
318,PRO,3,89
160,NFLX,10,88
357,CGC,7,87
1017,APP,2,87
560,PS5,6,86
1022,DEAR,2,86
699,U.K.,3,86
754,CAT,6,85
726,UTME,10,85
1038,WHE,1,85
443,AMC🚀,7,84
675,NASA,4,84
632,800C,7,83
542,FCEL,10,83
980,AUTO,1,83
636,CHOO,6,82
216,LIT,3,82
508,LIVE,5,81
746,DUMB,5,80
1100,PLE,1,80
354,FUN,6,80
998,HASN,2,80
806,MON,4,79
152,TRLY,5,79
1008,PART,1,78
1002,COLD,2,77
735,DIDN,3,77
858,ALOT,4,77
1010,HIM,2,76
241,TEN,2,76
121,RSI,6,76
387,BB88,3,75
587,JOBS,3,75
822,WAIT,5,75
848,CMI,1,75
1021,OURS,1,75
846,DOOR,3,75
266,POW,6,75
704,APH,4,73
617,SNOW,2,73
828,OGI,4,73
98,PRPL,8,73
498,TRY,4,73
411,PLUS,2,72
1028,SQU,1,72
927,TIP,2,72
849,CLIT,1,72
647,4PM,2,71
467,FAST,6,71
306,EYES,5,71
993,SAME,1,70
709,GAPE,5,70
295,TACO,5,69
335,HRTX,5,68
517,BILL,4,68
442,HOOD,2,68
638,STON,2,68
892,LIL,3,67
263,WHKS,2,66
146,700C,5,66
985,PLAN,1,66
873,BOTS,4,66
384,APPS,2,66
1011,CARD,2,65
